Cartesian
Radius  Average   Standard Deviation   Variance
------------------------------------------------
1        5.25451      0.0113934    0.000129809
2         5.4014       0.075977      0.0057725
3        6.33868      0.0151613    0.000229864
4        6.65666      0.0108629    0.000118003
5        8.64329      0.0159687    0.000254999
6        8.32533      0.0213458    0.000455642
7        8.98798      0.0442279     0.00195611
8        8.81281      0.0257163    0.000661326
9        9.03206     0.00143539    2.06034e-06
10        9.15415     0.00487722    2.37873e-05
11        10.5431      0.0243119    0.000591067
12        10.6827       0.927559       0.860365
13        10.6653       0.059748     0.00356982
14        10.9119     0.00278698    7.76728e-06
15        11.0922      0.0406394     0.00165156
16         10.979      0.0323037     0.00104353
17        11.3948      0.0176732    0.000312342
18        11.6607      0.0209024    0.000436909
19        11.6934      0.0137259      0.0001884
20        11.6957     0.00962776    9.26938e-05
21        12.1543      0.0069078    4.77177e-05
22        14.6266      0.0434516     0.00188804
23        14.7756      0.0347184     0.00120537
24        14.7047      0.0222959    0.000497106
25        15.6994      0.0134568    0.000181084
26        14.8969      0.0349006     0.00121805
27        15.0441     0.00197366    3.89533e-06
28        15.5465       0.270401      0.0731166
29        15.6212      0.0169555    0.000287489
30        15.5485       0.302103       0.091266
31        15.6373       0.061004     0.00372148
32        16.1271     0.00402212    1.61775e-05
33        16.0281      0.0460221     0.00211803
34        16.1421      0.0361358     0.00130579
35        16.1082      0.0846879     0.00717203
36        16.2563     0.00810759     6.5733e-05
37        16.3427      0.0294254    0.000865857
38        16.8238      0.0260646    0.000679365
39        16.8858     0.00511357    2.61486e-05
40        16.6637      0.0422798     0.00178758
41        17.2585      0.0331933      0.0011018
42        17.3984      0.0126048     0.00015888
43        17.6994      0.0313094    0.000980278
44        17.5095      0.0161202     0.00025986
45        20.0441       0.400922       0.160738
46        20.2733      0.0229926     0.00052866
47        20.7034      0.0314888    0.000991545
48        20.3153       0.104892      0.0110023
49          21.01    0.000448559    2.01205e-07
50        20.7217      0.0404429     0.00163563
51         20.978       0.178078      0.0317117
52        20.8488       0.099698     0.00993969
53        21.1062      0.0495209     0.00245232
54        22.6597      0.0107679    0.000115947
55        21.8617     0.00619011    3.83174e-05
56        22.1772      0.0372442     0.00138713
57          21.98       0.043869     0.00192449
58        21.7838       0.133395      0.0177943
59        22.5391      0.0653998     0.00427714
60        21.9409      0.0335071     0.00112273
61        22.6573       0.283938      0.0806206
62        22.2472     0.00782256    6.11924e-05
63         23.024      0.0436896     0.00190878
64        22.5385      0.0170386    0.000290314
65        23.1162      0.0499694     0.00249694
66        23.5495      0.0142516    0.000203109
67        23.4128      0.0632468     0.00400015
68        23.1952      0.0254629    0.000648359
69        23.5531      0.0200057    0.000400229
70        23.3043      0.0536494     0.00287826
71          24.01      0.0452147     0.00204437
72        23.4785      0.0165002    0.000272257
73        24.3567      0.0159687    0.000254999
74        23.8228      0.0372442     0.00138713
75        26.9419      0.0869307     0.00755694
76        24.3063      0.0096911    9.39175e-05
77        24.6533       0.029246     0.00085533
78        24.2943      0.0725883     0.00526906
79        24.9058       0.183281      0.0335919
80        24.7738      0.0704347     0.00496104
81        25.0962        0.04046     0.00163701
82        25.4655      0.0147267    0.000216875
83        25.3828      0.0276312    0.000763484
84        24.9239      0.0656841     0.00431441
85        25.1784       0.679477       0.461688
86        25.8639      0.0675844     0.00456765
87        25.9218       0.227329      0.0516787
88        26.2893     0.00915271    8.37721e-05
89        26.5852       0.652922       0.426307
90        29.9039     0.00304035     9.2437e-06
91         29.992      0.0898911     0.00808042
92        29.8689       0.067426     0.00454627
93        29.9499     0.00224279    5.03012e-06
94        29.7598     0.00760086    5.77731e-05
95         30.511      0.0218897    0.000479157
96        29.8378     0.00513058    2.63229e-05
97        30.0341      0.0880072     0.00774527
98        30.3624       0.020174    0.000406989
99             31              0              0
100        31.3724      0.0198573    0.000394311
101         31.505      0.0221588    0.000491012
102         30.962      0.0644807     0.00415776
103        31.8397     0.00717694    5.15084e-05
104        31.9159      0.0342989     0.00117641
105        31.5251      0.0212617    0.000452059
106        31.8669     0.00421215    1.77422e-05
107        31.7034        0.10281      0.0105698
108        31.7157       0.040633     0.00165104
109        32.1042       0.810456       0.656838
